Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
belt_base,1.11022302462516E-16,-1.11022302462516E-16,0.025,0,0,0,16.5,0.1271875,4.09626036793989E-17,4.88613779066815E-18,1.6671875,-4.1907499658812E-16,1.7875,0,0,0,0,0,0,package://conveyor_belt/meshes/belt_base.STL,0,0,0,1,0,0,0,0,0,0,package://conveyor_belt/meshes/belt_base.STL,,belt_base-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
belt_body,0,-2.22044604925031E-16,0.0440791706940699,0,0,0,25.4688050576424,0.178224280202433,-7.00919763852934E-17,1.67838018042271E-18,2.16108992355413,-3.07796178423394E-16,2.24920451600626,0,0,0,0,0,0,package://conveyor_belt/meshes/belt_body.STL,0.501960784313725,1,0.501960784313725,1,0,0,0,0,0,0,package://conveyor_belt/meshes/belt_body.STL,,belt_body-1,Coordinate System2,,belt_body_joint,fixed,0.05,0,0.25,0,0,0,belt_base,0,0,0,,,,,,,,,,,,
belt_moving,0,0,0.00249999999999984,0,0,0,1.15,0.00599197916666667,1.00903082185984E-18,4.8890289964615E-20,0.0811157291666667,-2.09041534284049E-17,0.0871029166666667,0,0,0,0,0,0,package://conveyor_belt/meshes/belt_moving.STL,0,0,0,1,0,0,0,0,0,0,package://conveyor_belt/meshes/belt_moving.STL,,belt_moving-1,Coordinate System3,Axis1,belt_moving_joint,prismatic,0.0031673,0,0.1,0,0,0,belt_body,1,0,0,0,0,0,0,,,,,,,,
